GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A007	moeK5	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006638|InterPro:IPR007197	67581	InterPro		F
UniProtKB	A0A007	moeK5	enables	GO:0031419	cobalamin binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006158	67581	InterPro		F
UniProtKB	A0A007	moeK5	enables	GO:0046872	metal ion binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006158	67581	InterPro		F
UniProtKB	A0A007	moeK5	enables	GO:0051536	iron-sulfur cluster binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006638|InterPro:IPR007197	67581	InterPro		F
UniProtKB	A0A007	moeK5	enables	GO:0051539	4 iron, 4 sulfur cluster binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0004	67581	UniProt		F
UniProtKB	A0A007	moeK5	located_in	GO:0005829	cytosol	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000228861	67581	TreeGrafter		C
UniProtKB	A0A009	moeM5	enables	GO:0003824	catalytic activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003696	67581	InterPro		F
UniProtKB	A0A009	moeM5	involved_in	GO:0009058	biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003696	67581	InterPro		P
UniProtKB	A0A009GKJ5	J507_4090	enables	GO:0000150	DNA strand exchange activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006118|InterPro:IPR006119|InterPro:IPR036162	1310608	InterPro		F
UniProtKB	A0A009GKJ5	J507_4090	enables	GO:0000150	DNA strand exchange activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN008625002	1310608	TreeGrafter		F
UniProtKB	A0A009GKJ5	J507_4090	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006119|InterPro:IPR036162	1310608	InterPro		F
UniProtKB	A0A009GKJ5	J507_4090	enables	GO:0003677	DNA binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	1310608	UniProt		F
UniProtKB	A0A009GKJ5	J507_4090	involved_in	GO:0006310	DNA recombination	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006118|InterPro:IPR006119|InterPro:IPR036162	1310608	InterPro		P
UniProtKB	A0A009GKJ5	J507_4090	involved_in	GO:0006310	DNA recombination	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0233	1310608	UniProt		P
UniProtKB	A0A009GKJ5	J507_4090	involved_in	GO:0006310	DNA recombination	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN008625002	1310608	TreeGrafter		P
UniProtKB	A0A009GKJ5	J507_4090	involved_in	GO:0015074	DNA integration	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0229	1310608	UniProt		P
UniProtKB	A0A009GL10	J507_4083	enables	GO:0003988	acetyl-CoA C-acyltransferase activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001291485	1310608	TreeGrafter		F
UniProtKB	A0A009GL10	J507_4083	enables	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020615|InterPro:IPR020616	1310608	InterPro		F
UniProtKB	A0A009GL10	J507_4083	involved_in	GO:0006635	fatty acid beta-oxidation	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001291485	1310608	TreeGrafter		P
UniProtKB	A0A009GL10	J507_4083	involved_in	GO:0010124	phenylacetate catabolic process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001291485	1310608	TreeGrafter		P
UniProtKB	A0A009GL41	J507_2815	enables	GO:0003676	nucleic acid binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002059|InterPro:IPR011129|InterPro:IPR012156	1310608	InterPro		F
UniProtKB	A0A009GL41	J507_2815	enables	GO:0003676	nucleic acid binding	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN008758500	1310608	TreeGrafter		F
UniProtKB	A0A009GL41	J507_2815	enables	GO:0003677	DNA binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	1310608	UniProt		F
UniProtKB	A0A009GL41	J507_2815	involved_in	GO:0010468	regulation of gene expression	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN008758500	1310608	TreeGrafter		P
UniProtKB	A0A009GL41	J507_2815	located_in	GO:0005737	cytoplasm	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0963	1310608	UniProt		C
UniProtKB	A0A009GL41	J507_2815	located_in	GO:0005737	cytoplasm	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310608	UniProt		C
UniProtKB	A0A009GL41	J507_2815	located_in	GO:0005829	cytosol	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029243	1310608	UniProt		C
UniProtKB	A0A009GLJ5	J507_2437	enables	GO:0000287	magnesium ion binding	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002458359	1310608	TreeGrafter		F
UniProtKB	A0A009GLJ5	J507_2437	enables	GO:0016787	hydrolase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	1310608	UniProt		F
UniProtKB	A0A009GLJ5	J507_2437	enables	GO:0046872	metal ion binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	1310608	UniProt		F
UniProtKB	A0A009GLJ5	J507_2437	involved_in	GO:0006564	L-serine biosynthetic process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0718	1310608	UniProt		P
UniProtKB	A0A009GLJ5	J507_2437	involved_in	GO:0006564	L-serine biosynthetic process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002458359	1310608	TreeGrafter		P
UniProtKB	A0A009GLJ5	J507_2437	involved_in	GO:0016311	dephosphorylation	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002458359	1310608	TreeGrafter		P
UniProtKB	A0A009GLJ5	J507_2437	located_in	GO:0005737	cytoplasm	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002458359	1310608	TreeGrafter		C
UniProtKB	A0A009GMU8	J507_3992	involved_in	GO:0006826	iron ion transport	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0410	1310608	UniProt		P
UniProtKB	A0A009GMU8	J507_3992	involved_in	GO:0015891	siderophore transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010105	1310608	InterPro		P
UniProtKB	A0A009GMU8	J507_3992	involved_in	GO:0033214	siderophore-dependent iron import into cell	ECO:0000366	IEA	GO_REF:0000108	GO:0015343	1310608	GOC		P
UniProtKB	A0A009GMU8	J507_3992	involved_in	GO:0033214	siderophore-dependent iron import into cell	ECO:0000366	IEA	GO_REF:0000108	GO:0015344	1310608	GOC		P
UniProtKB	A0A009GMU8	J507_3992	involved_in	GO:0044718	siderophore transmembrane transport	ECO:0000366	IEA	GO_REF:0000108	GO:0015343	1310608	GOC		P
UniProtKB	A0A009GMU8	J507_3992	involved_in	GO:0044718	siderophore transmembrane transport	ECO:0000366	IEA	GO_REF:0000108	GO:0015344	1310608	GOC		P
UniProtKB	A0A009GMU8	J507_3992	located_in	GO:0009279	cell outer membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010105	1310608	InterPro		C
UniProtKB	A0A009GMU8	J507_3992	located_in	GO:0009279	cell outer membrane	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0998	1310608	UniProt		C
UniProtKB	A0A009GMU8	J507_3992	located_in	GO:0009279	cell outer membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0040	1310608	UniProt		C
UniProtKB	A0A009GMU8	J507_3992	located_in	GO:0009279	cell outer membrane	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001806741	1310608	UniProt		C
UniProtKB	A0A009GMU8	J507_3992	located_in	GO:0009279	cell outer membrane	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN008863920	1310608	TreeGrafter		C
UniProtKB	A0A009GMU8	J507_3992	enables	GO:0015343	siderophore-iron transmembrane transporter activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010105	1310608	InterPro		F
UniProtKB	A0A009GMU8	J507_3992	enables	GO:0015344	siderophore uptake transmembrane transporter activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN008863920	1310608	TreeGrafter		F
UniProtKB	A0A009GMU8	J507_3992	enables	GO:0038023	signaling receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010105	1310608	InterPro		F
UniProtKB	A0A009GN04	J507_3986	enables	GO:0010181	FMN binding	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN004743843	1310608	TreeGrafter		F
UniProtKB	A0A009GN04	J507_3986	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005025	1310608	InterPro		F
UniProtKB	A0A009GN04	J507_3986	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028747	1310608	UniProt		F
UniProtKB	A0A009GN04	J507_3986	located_in	GO:0005829	cytosol	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN004743843	1310608	TreeGrafter		C
UniProtKB	A0A009GN48	J507_3974	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000212	1310608	InterPro		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0003678	DNA helicase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000212	1310608	InterPro		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0004386	helicase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0347	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0004386	helicase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413885	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000212|InterPro:IPR014016|InterPro:IPR014017	1310608	InterPro		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413885	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0016787	hydrolase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR014017	1310608	InterPro		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0016787	hydrolase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0016787	hydrolase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413885	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0016853	isomerase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0413	1310608	UniProt		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0016887	ATP hydrolysis activity	ECO:0007322	IEA	GO_REF:0000116	RHEA:13065	1310608	RHEA		F
UniProtKB	A0A009GN48	J507_3974	enables	GO:0043138	3'-5' DNA helicase activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000116141	1310608	TreeGrafter		F
UniProtKB	A0A009GN48	J507_3974	involved_in	GO:0000725	recombinational repair	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000116141	1310608	TreeGrafter		P
UniProtKB	A0A009GN48	J507_3974	involved_in	GO:0032508	DNA duplex unwinding	ECO:0000366	IEA	GO_REF:0000108	GO:0003678	1310608	GOC		P
UniProtKB	A0A009GN48	J507_3974	involved_in	GO:0032508	DNA duplex unwinding	ECO:0000366	IEA	GO_REF:0000108	GO:0043138	1310608	GOC		P
UniProtKB	A0A009GNA0	J507_3960	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	1310608	UniProt		C
UniProtKB	A0A009GNS5	J507_3925	involved_in	GO:0043709	cell adhesion involved in single-species biofilm formation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR023829	1310608	InterPro		P
UniProtKB	A0A009GNS5	J507_3925	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	1310608	UniProt		C
UniProtKB	A0A009GNX5	J507_3910	enables	GO:0016829	lyase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0456	1310608	UniProt		F
UniProtKB	A0A009GNX5	J507_3910	enables	GO:0016836	hydro-lyase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000581	1310608	InterPro		F
UniProtKB	A0A009GNX5	J507_3910	enables	GO:0016836	hydro-lyase activity	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026984	1310608	UniProt		F
UniProtKB	A0A009GNX5	J507_3910	enables	GO:0046872	metal ion binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	1310608	UniProt		F
UniProtKB	A0A009GNX5	J507_3910	enables	GO:0051536	iron-sulfur cluster binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0411	1310608	UniProt		F
UniProtKB	A0A009GNX5	J507_3910	involved_in	GO:0019752	carboxylic acid metabolic process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027276	1310608	UniProt		P
UniProtKB	A0A009GNX9	J507_3915	enables	GO:0016159	muconolactone delta-isomerase activity	ECO:0000501	IEA	GO_REF:0000003	EC:5.3.3.4	1310608	UniProt		F
UniProtKB	A0A009GNX9	J507_3915	enables	GO:0016159	muconolactone delta-isomerase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001995989	1310608	UniProt		F
UniProtKB	A0A009GNX9	J507_3915	enables	GO:0016159	muconolactone delta-isomerase activity	ECO:0007322	IEA	GO_REF:0000116	RHEA:12348	1310608	RHEA		F
UniProtKB	A0A009GNX9	J507_3915	enables	GO:0016853	isomerase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0413	1310608	UniProt		F
UniProtKB	A0A009GNX9	J507_3915	involved_in	GO:0009056	catabolic process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0058	1310608	UniProt		P
UniProtKB	A0A009GNX9	J507_3915	involved_in	GO:0042952	beta-ketoadipate pathway	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00157	1310608	UniProt		P
UniProtKB	A0A009GNX9	J507_3915	involved_in	GO:0042952	beta-ketoadipate pathway	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001995989	1310608	UniProt		P
UniProtKB	A0A009GP43	J507_3894	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000776740	1310608	TreeGrafter		F
UniProtKB	A0A009GP43	J507_3894	enables	GO:0043565	sequence-specific DNA binding	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000776740	1310608	TreeGrafter		F
UniProtKB	A0A009GP43	J507_3894	involved_in	GO:0006351	DNA-templated transcription	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000776740	1310608	TreeGrafter		P
UniProtKB	A0A009GP43	J507_3894	involved_in	GO:0006355	regulation of DNA-templated transcription	ECO:0000366	IEA	GO_REF:0000108	GO:0003700	1310608	GOC		P
UniProtKB	A0A009GP46	J507_3899	enables	GO:0022857	transmembrane transporter activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011701|InterPro:IPR020846	1310608	InterPro		F
UniProtKB	A0A009GP46	J507_3899	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011701	1310608	InterPro		P
UniProtKB	A0A009GP46	J507_3899	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	1310608	UniProt		C
UniProtKB	A0A009GP46	J507_3899	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310608	UniProt		C
UniProtKB	A0A009GP47	J507_3904	enables	GO:0022857	transmembrane transporter activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006143	1310608	InterPro		F
UniProtKB	A0A009GP47	J507_3904	enables	GO:0046914	transition metal ion binding	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002013153	1310608	TreeGrafter		F
UniProtKB	A0A009GP47	J507_3904	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006143	1310608	InterPro		P
UniProtKB	A0A009GP47	J507_3904	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027679	1310608	UniProt		P
UniProtKB	A0A009GP47	J507_3904	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006143	1310608	InterPro		C
UniProtKB	A0A009GP47	J507_3904	located_in	GO:0030288	outer membrane-bounded periplasmic space	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002013153	1310608	TreeGrafter		C
UniProtKB	A0A009GP47	J507_3904	located_in	GO:0030313	cell envelope	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002013153	1310608	TreeGrafter		C
UniProtKB	A0A009GP99	J507_3888	enables	GO:0003677	DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010982	1310608	InterPro		F
UniProtKB	A0A009GP99	J507_3888	enables	GO:0003677	DNA binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	1310608	UniProt		F
UniProtKB	A0A009GPD0	J507_4084	enables	GO:0004803	transposase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002513	1310608	InterPro		F
UniProtKB	A0A009GPD0	J507_4084	involved_in	GO:0006313	DNA transposition	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002513	1310608	InterPro		P
UniProtKB	A0A009GPG5	J507_3871	enables	GO:0004803	transposase activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN007472921	1310608	TreeGrafter		F
UniProtKB	A0A009GPG5	J507_3871	involved_in	GO:0032196	transposition	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN007472921	1310608	TreeGrafter		P
UniProtKB	A0A009GPG5	J507_3871	located_in	GO:0005829	cytosol	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN007472921	1310608	TreeGrafter		C
UniProtKB	A0A009GPN5	J507_3846	enables	GO:0008791	arginine N-succinyltransferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007041|InterPro:IPR017650	1310608	InterPro		F
UniProtKB	A0A009GPN5	J507_3846	enables	GO:0008791	arginine N-succinyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.1.109	1310608	UniProt		F
UniProtKB	A0A009GPN5	J507_3846	enables	GO:0008791	arginine N-succinyltransferase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001995767	1310608	UniProt		F
UniProtKB	A0A009GPN5	J507_3846	enables	GO:0016746	acyltransferase activity	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0012	1310608	UniProt		F
UniProtKB	A0A009GPN5	J507_3846	involved_in	GO:0006525	arginine metabolic process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0056	1310608	UniProt		P
UniProtKB	A0A009GPN5	J507_3846	involved_in	GO:0006527	arginine catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007041|InterPro:IPR017650	1310608	InterPro		P
UniProtKB	A0A009GPN5	J507_3846	involved_in	GO:0006527	arginine catabolic process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001995767	1310608	UniProt		P
UniProtKB	A0A009GPP0	J507_3851	enables	GO:0003677	DNA binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	1310608	UniProt		F
UniProtKB	A0A009GPP0	J507_3851	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000524	1310608	InterPro		F
UniProtKB	A0A009GPP0	J507_3851	involved_in	GO:0006355	regulation of DNA-templated transcription	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000524	1310608	InterPro		P
UniProtKB	A0A009GPT1	J507_4072	enables	GO:0003988	acetyl-CoA C-acyltransferase activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001291485	1310608	TreeGrafter		F
UniProtKB	A0A009GPT1	J507_4072	enables	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020615|InterPro:IPR020616	1310608	InterPro		F
UniProtKB	A0A009GPT1	J507_4072	involved_in	GO:0006635	fatty acid beta-oxidation	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001291485	1310608	TreeGrafter		P
UniProtKB	A0A009GPT1	J507_4072	involved_in	GO:0010124	phenylacetate catabolic process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001291485	1310608	TreeGrafter		P
